"가구번호","여행구분1","여행구분2","여행 월","여행 번째","당일/숙박여행 여부","여행 출발 년","여행 출발 월","여행 출발 일","여행 도착 년","여행 도착 월","여행 도착 일","여행 박","여행 일","여행 시기_주중","여행 시기_주말","여행 시기_휴가/방학","여행 시기_설날/추석","여행 시기_공휴일","여행 주 목적","여행 정보 주요 획득지_1순위","여행 정보 주요 획득지_2순위","참고한 인터넷 사이트_1순위","참고한 인터넷 사이트_2순위","동반자 수_동거 가족이나 친척","동반자 수_비동거 가족이나 친척","동반자 수_그 외 동행자","그 외 동행자 유형_친구/연인","그 외 동행자 유형_(직장)동료","그 외 동행자 유형_단체/모임","그 외 동행자 유형_기타","여행 지출 비용_총비용","여행 지출 비용_출발전 지출비용","여행지 지출비용_단체비용","여행지 지출비용_여행사 상품구입비","여행지 지출비용_숙박비","여행지 지출비용_교통비","여행지 지출비용_식/음료비","여행지 지출비용_문화/오락시설 이용료/관람료","여행지 지출비용_스포츠/레포츠 용품대여/구입비, 경기관람료","여행지 지출비용_기념품 및 쇼핑비","여행지 지출비용_여행지에서 여행관련용품 구입비","여행지 지출비용_기타비용","여행 출발 전 사전예약을 통해  이용한 서비스 여부","사전예약을 한 서비스_숙박시설","사전예약을 한 서비스_교통수단","사전예약을 한 서비스_차량대여/렌트","사전예약을 한 서비스_관광명소","사전예약을 한 서비스_레저시설","사전예약을 한 서비스_체험프로그램","사전예약을 한 서비스_기타","여행상품 구매 또는 이용 여부","구매한 여행상품","구매한 여행상품_부분 패키지 상품(교통)","구매한 여행상품_부분 패키지 상품(차량임대)","구매한 여행상품_부분 패키지 상품(숙박시설)","구매한 여행상품_부분 패키지 상품(레저시설)","구매한 여행상품_부분 패키지 상품(기타)","단체회비/단체경비에 여행상품 구매 비용 포함 여부","항목별 만족도_자연경관","항목별 만족도_문화유산","항목별 만족도_교통","항목별 만족도_숙박시설","항목별 만족도_식당 및 음식","항목별 만족도_쇼핑","항목별 만족도_관광정보 및 안내시설","항목별 만족도_관광지 편의시설","항목별 만족도_지역 관광종사자의 친절성","항목별 만족도_체험프로그램","항목별 만족도_관광지 물가","항목별 만족도_관광지 혼잡도","가중치"
10039,1,2,10,122964,1,2017,10,21,2017,10,21,0,1,,2,,,,1,8,2,,,2,1,1,,,,,140000,70000,0,0,0,0,0,70000,0,0,0,0,2,,,,,,,,2,,,,,,,,4,5,4,9,4,4,4,4,4,9,4,4,6242.56952800762
10039,1,2,11,122966,1,2017,11,18,2017,11,18,0,1,,2,,,,1,8,11,,,2,1,1,,,,,150000,40000,0,0,0,0,60000,0,0,50000,0,0,2,,,,,,,,2,,,,,,,,5,9,4,9,5,5,4,4,4,9,4,4,6242.56952800762
10039,1,2,11,122967,1,2017,11,26,2017,11,26,0,1,,2,,,,1,8,11,,,2,1,1,,,,,100000,30000,0,0,0,0,50000,0,0,20000,0,0,2,,,,,,,,2,,,,,,,,5,9,5,9,5,5,4,4,4,9,4,4,6242.56952800762
10039,1,2,7,122958,1,2017,7,16,2017,7,16,0,1,,2,,,,1,2,8,,,2,1,1,,,,,160000,10000,0,0,0,10000,90000,0,0,0,50000,0,2,,,,,,,,2,,,,,,,,5,9,5,9,4,5,5,5,5,9,5,5,6242.56952800762
10039,1,2,8,122961,1,2017,8,20,2017,8,20,0,1,,2,,,,1,8,11,,,2,1,1,,,,,120000,20000,0,0,0,0,0,100000,0,0,0,0,2,,,,,,,,2,,,,,,,,5,9,4,9,4,9,4,4,4,9,4,4,6242.56952800762
10039,1,2,9,122962,1,2017,9,17,2017,9,17,0,1,,2,,,,1,8,11,,,2,1,1,,,,,120000,40000,0,0,0,0,80000,0,0,0,0,0,2,,,,,,,,2,,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,6242.56952800762
10040,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041,1,1,4,109493,2,2017,4,15,2017,4,17,2,3,1,2,,,,1,2,9,,,3,1,1,,,,,1200000,100000,0,1100000,0,0,0,0,0,0,0,0,1,,,,4,,,,1,2,1,,,,,,4,4,4,4,4,4,4,4,4,9,4,4,5826.61480793945
10041,1,1,4,109494,1,2017,4,23,2017,4,23,0,1,,2,,,,1,2,11,,,3,1,1,,,,,100000,0,0,0,0,30000,50000,20000,0,0,0,0,2,,,,,,,,1,2,,2,,,,,3,9,3,9,4,9,3,3,4,9,4,4,5826.61480793945
10041,1,1,4,109496,2,2017,4,30,2017,5,1,1,2,1,2,,,,1,2,9,,,3,1,1,,,,,300000,80000,0,0,140000,45000,35000,0,0,0,0,0,1,1,,,,,,,1,2,1,,,,,,3,9,4,4,3,9,3,4,4,9,3,4,5826.61480793945
