"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"엘림지역아동센터","B2407","(아동) 지역아동센터","아동복지시설","자치구","조재선","1144000000","마포구","서울특별시 마포구 방울내로 53"
"용산지역아동복지센터","B2408","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","방애영","1117000000","용산구","서울특별시 용산구 소월로2나길 18 (후암동)"
"온세계지역아동센터","B2412","(아동) 지역아동센터","아동복지시설","자치구","이경란","1126000000","중랑구","서울특별시 중랑구 용마공원로 16영진빌딩3층"
"화곡지역아동센터","B2413","(아동) 지역아동센터","아동복지시설","자치구","최덕성","1150000000","강서구","서울특별시 강서구 등촌로5길 79"
"강서지역아동복지센터","B2418","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","박국자","1150000000","강서구","서울특별시 강서구 금낭화로26가길 120"
"주함지역아동센터","B2432","(아동) 지역아동센터","아동복지시설","자치구","주현구","1150000000","강서구","서울특별시 강서구 강서로18길 414층 (화곡동)"
"꿈나무들의둥지지역아동센터","B2441","(아동) 지역아동센터","아동복지시설","자치구","권필녀","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 104목동종합사회복지관"
"동작이수지역아동센터","B2451","(아동) 지역아동센터","아동복지시설","자치구","김봉준","1159000000","동작구","서울특별시 동작구 동작대로35차길 7"
"자광아동가정상담원","B2458","(아동) 아동상담소","아동복지시설","자치구","조혜수","1126000000","중랑구","서울특별시 중랑구 상봉로 7서일타운 2층"
"대방지역아동센터","B2466","(아동) 지역아동센터","아동복지시설","자치구","정화원","1159000000","동작구","서울특별시 동작구 여의대방로44길 47"
"마루아라지역아동센터","B2467","(아동) 지역아동센터","아동복지시설","자치구","배진희","1126000000","중랑구","서울특별시 중랑구 신내로 1152층"
"e-좋은만남","B2569","(아동) 공동생활가정","아동복지시설","자치구","김레지나","1153000000","구로구","서울특별시 구로구 고척로27나길 28-10 (고척동)(고척동)"
"오류마을","B2601","(아동) 아동양육시설","아동복지시설","자치구","김혜숙","1153000000","구로구","서울특별시 구로구 오류로8길 84 (오류동)"
"옹달샘지역아동센터","B2644","(아동) 지역아동센터","아동복지시설","자치구","신정숙","1144000000","마포구","서울특별시 마포구 월드컵로7길 41"
"지역아동센터나눔공부방","B2651","(아동) 지역아동센터","아동복지시설","자치구","김명희","1144000000","마포구","서울특별시 마포구 아현동678-7"
"성산행복한홈스쿨","B2730","(아동) 지역아동센터","아동복지시설","자치구","편지은","1144000000","마포구","서울특별시 마포구 포은로 30"
"지역아동센터사랑의공부방","B2752","(아동) 지역아동센터","아동복지시설","자치구","최윤정","1130500000","강북구","서울특별시 강북구 한천로105길 33-0유치원상가 3층"
"돌산공부방 지역아동센터","B2791","(아동) 지역아동센터","아동복지시설","자치구","이현정","1130500000","강북구","서울특별시 강북구 솔샘로 272-03층"
"예닮의집","B2810","(아동) 공동생활가정","아동복지시설","자치구","장영숙","1130500000","강북구","서울특별시 강북구 화계사길 5-15(수유동461-97)"
"서울마포아동보호전문기관","B2814","(아동) 공동생활가정","아동복지시설","자치구","임용순","1144000000","마포구","서울특별시 마포구 독막로20길 512층"
"마자렐로센터","B2823","(아동) 아동보호치료시설","아동복지시설","자치구","김현숙","1156000000","영등포구","서울특별시 영등포구 신길로 93 (신길동)"
"구로푸른학교지역아동센터","B2845","(아동) 지역아동센터","아동복지시설","자치구","모희자","1153000000","구로구","서울특별시 구로구 가마산로23길 272층 (구로동)"
"성동좋은이웃지역아동센터","B2849","(아동) 지역아동센터","아동복지시설","자치구","김영주","1120000000","성동구","서울특별시 성동구 용답중앙길 942층"
"난향지역아동센터","B2873","(아동) 지역아동센터","아동복지시설","자치구","김두열","1162000000","관악구","서울특별시 관악구 난향7길 23층"
"지역아동센터도깨비방망이공부방","B2880","(아동) 지역아동센터","아동복지시설","자치구","이수경","1120000000","성동구","서울특별시 성동구 성덕정길 702층"
"예성의집","B2885","(아동) 공동생활가정","아동복지시설","자치구","이진희","1171000000","송파구","서울특별시 송파구 성내천로 77-04층"
"아름드리지역아동센터","B2890","(아동) 지역아동센터","아동복지시설","자치구","이우영","1147000000","양천구","서울특별시 양천구 신목로2길 11304호 (신정동 청구아파트)"
"푸른샘지역아동센터","B2893","(아동) 지역아동센터","아동복지시설","자치구","윤종광","1154500000","금천구","서울특별시 금천구 독산로 24922-36"
"해뜨는집","B2894","(아동) 공동생활가정","아동복지시설","자치구","최선이","1171000000","송파구","서울특별시 송파구 송파대로34가길 28 (송파동)"
"샬롬의집","B2900","(아동) 공동생활가정","아동복지시설","자치구","박은미","1162000000","관악구","서울특별시 관악구 쑥고개로 49-52층"
"삼동지역아동센터","B2933","(아동) 지역아동센터","아동복지시설","자치구","송성희","1130500000","강북구","서울특별시 강북구 번동3동 주공아파트 201동 212호"
"마로니에지역아동센터","B2950","(아동) 지역아동센터","아동복지시설","자치구","이금숙","1111000000","종로구","서울특별시 종로구 이화장길 94"
"꿈나무공부방","B2952","(아동) 지역아동센터","아동복지시설","자치구","최보경","1162000000","관악구","서울특별시 관악구 난향12길 26"
"아모텍오디가정","B2956","(아동) 공동생활가정","아동복지시설","자치구","서광숙","1162000000","관악구","서울특별시 관악구 난곡로34나길 40401호"
"마을 속 작은학교","B2966","(아동) 지역아동센터","아동복지시설","자치구","강선미","1130500000","강북구","서울특별시 강북구 삼양로118길 33 (수유동)"
"해송지역아동센터","B2967","(아동) 지역아동센터","아동복지시설","자치구","조은숙","1111000000","종로구","서울특별시 종로구 낙산성곽동길 59-10"
"비전지역아동센터","B2982","(아동) 지역아동센터","아동복지시설","자치구","송수자","1154500000","금천구","서울특별시 금천구 독산로22길 602층"
"R&T지역아동센터","B2984","(아동) 지역아동센터","아동복지시설","자치구","남성우","1171000000","송파구","서울특별시 송파구 중대로36길 172층"
"해성 지역아동센터","B2991","(아동) 지역아동센터","아동복지시설","자치구","김성숙","1162000000","관악구","서울특별시 관악구 관악로 287상가동 310호 (봉천동)(봉천동)"
"중앙지역아동센터","B3017","(아동) 지역아동센터","아동복지시설","자치구","유찬숙","1111000000","종로구","서울특별시 종로구 충신길 22중앙성결교회 교육관 3층"
"광동지역아동센터","B3032","(아동) 지역아동센터","아동복지시설","자치구","이경미","1162000000","관악구","서울특별시 관악구 행운2길 282층 (봉천동)"
"디딤터","B3046","(아동) 공동생활가정","아동복지시설","자치구","한윤희","1141000000","서대문구","서울특별시 서대문구 북아현로14길 25-22층"
"희망신나는집문화학교","B3061","(아동) 지역아동센터","아동복지시설","자치구","김선희","1162000000","관악구","서울특별시 관악구 중앙길 751~2층"
"참좋은 지역아동센터","B3063","(아동) 지역아동센터","아동복지시설","자치구","곽지연","1162000000","관악구","서울특별시 관악구 난우길 412층"
"민영지역아동센터","B3064","(아동) 지역아동센터","아동복지시설","자치구","박광신","1162000000","관악구","서울특별시 관악구 난우길 45 2층"
"섬김의집","B3084","(아동) 지역아동센터","아동복지시설","자치구","진현정","1162000000","관악구","서울특별시 관악구 원신길 149 1~3층 (신림동)"
"은천지역아동센터","B3091","(아동) 지역아동센터","아동복지시설","자치구","정여정","1162000000","관악구","서울특별시 관악구 관천로 119"
"마음터지역아동센터","B3138","(아동) 지역아동센터","아동복지시설","자치구","박경숙","1135000000","노원구","서울특별시 노원구 덕릉로 8493층 (상계동)"
"행복한우리집","B3151","(아동) 공동생활가정","아동복지시설","자치구","나인채","1162000000","관악구","서울특별시 관악구 국회단지길 67(봉천동)"
"종로지역아동센터","B3165","(아동) 지역아동센터","아동복지시설","자치구","이재원","1111000000","종로구","서울특별시 종로구 지봉로13길 82"
"성터지역아동센터","B3167","(아동) 지역아동센터","아동복지시설","자치구","이경옥","1111000000","종로구","서울특별시 종로구 창신2동 640-240 1층640-240"
"샛별지역아동센터","B3169","(아동) 지역아동센터","아동복지시설","자치구","송영숙","1135000000","노원구","서울특별시 노원구 동일로237길 92301호"
"한누리아동센터","B3170","(아동) 지역아동센터","아동복지시설","자치구","현수지","1111000000","종로구","서울특별시 종로구 통일로12길 16-5한누리 지역아동센터 (무악동)"
"연동지역아동센터","B3218","(아동) 지역아동센터","아동복지시설","자치구","김수미","1111000000","종로구","서울특별시 종로구 대학로3길 9가나의 집 "
"한길지역아동센터","B3230","(아동) 지역아동센터","아동복지시설","자치구","허정숙","1123000000","동대문구","서울특별시 동대문구 외대역동로 101중앙하이츠상가 203호 204호 (이문동 중앙하이츠빌)(이문동 중앙하이츠빌)"
"선한지역아동센터","B3253","(아동) 지역아동센터","아동복지시설","자치구","전일순","1159000000","동작구","서울특별시 동작구 서달로 110-10 (흑석동)"
"염광지역아동센터빛나는집","B3256","(아동) 지역아동센터","아동복지시설","자치구","전두호","1123000000","동대문구","서울특별시 동대문구 전농로16길 83-0염광지역아동센터"
"샘지역아동센터","B3259","(아동) 지역아동센터","아동복지시설","자치구","김정민","1159000000","동작구","서울특별시 동작구 여의대방로22나길 82"
"소망을찾는이","B3266","(아동) 지역아동센터","아동복지시설","자치구","도경화","1117000000","용산구","서울특별시 용산구 두텁바위로1길 70(후암동)"
"참사랑지역아동센터","B3273","(아동) 지역아동센터","아동복지시설","자치구","문남순","1126000000","중랑구","서울특별시 중랑구 면목로48길 563층"
"큰사랑공부방","B3353","(아동) 지역아동센터","아동복지시설","자치구","한소영","1165000000","서초구","서울특별시 서초구 방배로13길 292층(방배동)"
"서초지역아동센터","B3372","(아동) 지역아동센터","아동복지시설","자치구","한상길","1165000000","서초구","서울특별시 서초구 방배천로8길 35-32층 (방배동)"
"상록지역아동복지센터","B3416","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","부청하","1162000000","관악구","서울특별시 관악구 남현길 63 (남현동)(남현동)"
"성광지역아동센터","B3528","(아동) 지역아동센터","아동복지시설","자치구","조미옥","1129000000","성북구","서울특별시 성북구 보국문로16길 87"
"예꿈의집","B3576","(아동) 아동양육시설","아동복지시설","자치구","이옥주","1126000000","중랑구","서울특별시 중랑구 중랑천로29길 14-5"
"방학동지역아동센터","B3593","(아동) 지역아동센터","아동복지시설","자치구","박상진","1132000000","도봉구","서울특별시 도봉구 시루봉로 88성원프라자 3층 (쌍문동)"
"동서울지역아동복지센터","B3619","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","이영숙","1174000000","강동구","서울특별시 강동구 천호대로186길 21 (둔촌동)"
"금빛지역아동센터","B3634","(아동) 지역아동센터","아동복지시설","자치구","조남준","1135000000","노원구","서울특별시 노원구 상계로26길 203층 대동아파트상가 (상계동 대동청솔아파트)"
"한믿음지역아동센터","B3636","(아동) 지역아동센터","아동복지시설","자치구","양미자","1156000000","영등포구","서울특별시 영등포구 대방천로12길 5-2"
"진관지역아동센터","B3658","(아동) 지역아동센터","아동복지시설","자치구","이성진","1138000000","은평구","서울특별시 은평구 진관2로 29-12 (진관동)"
"민들레샘물 지역아동센터","B3668","(아동) 지역아동센터","아동복지시설","자치구","호지연","1162000000","관악구","서울특별시 관악구 대학20길 27103동 105호 (신림동 현대아파트)"
"쌍문지역아동센터","B3669","(아동) 지역아동센터","아동복지시설","자치구","김진미","1132000000","도봉구","서울특별시 도봉구노해로41길 46 (쌍문동)291-7"
"도봉지역아동센터","B3680","(아동) 지역아동센터","아동복지시설","자치구","정지영","1132000000","도봉구","서울특별시 도봉구 도봉1동 도당로19길68"
"열림지역아동센터","B3683","(아동) 지역아동센터","아동복지시설","자치구","김진천","1135000000","노원구","서울특별시 노원구 동일로231다길 6열림교회 (상계동)"
"생명나무지역아동꿈터","B3693","(아동) 지역아동센터","아동복지시설","자치구","선우인정","1117000000","용산구","서울특별시 용산구 백범로43길 2지1층 (효창동)"
"성심중앙지역아동센터","B3695","(아동) 지역아동센터","아동복지시설","자치구","나석준","1130500000","강북구","서울특별시 강북구 삼양로117길 58"
"애신","B3696","(아동) 공동생활가정","아동복지시설","자치구","김진희","1141000000","서대문구","서울특별시 서대문구 명지대1라길 6애신 (남가좌동)"
"나눔지역아동센터","B3711","(아동) 지역아동센터","아동복지시설","자치구","김옥란","1159000000","동작구","서울특별시 동작구 신대방2나길 22 (신대방동)"
"작은사랑서울지역아동센터","B3712","(아동) 지역아동센터","아동복지시설","자치구","김혜란","1159000000","동작구","서울특별시 동작구 대방동6길 21드림빌라트 3차 103호 (상도동 드림빌라트3차)"
"비젼학교지역아동센터","B3719","(아동) 지역아동센터","아동복지시설","자치구","최선열","1168000000","강남구","서울특별시 강남구 일원로3길 382층 (일원동)"
"진성지역아동센터","B3727","(아동) 지역아동센터","아동복지시설","자치구","임정민","1121500000","광진구","서울특별시 광진구 용마산로26길 10"
"희망지역아동센터","B3743","(아동) 지역아동센터","아동복지시설","자치구","하순정","1150000000","강서구","서울특별시 강서구 강서로56길 963층 (등촌동)"
"시립아동상담치료센터","B3744","(아동) 아동종합시설","아동복지시설","자치구","김영렬","1123000000","동대문구","서울특별시 동대문구 답십리로69길 106(장안동)"
"삼동지역아동복지센터","B3763","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","현재우","1144000000","마포구","서울특별시 마포구 가양대로 124-0"
"비둘기지역아동센터","B3783","(아동) 지역아동센터","아동복지시설","자치구","김현숙","1147000000","양천구","서울특별시 양천구 지양로3길 7 (신월동)"
"점프지역아동센터","B3786","(아동) 지역아동센터","아동복지시설","자치구","강명희","1165000000","서초구","서울특별시 서초구 언남12길 81층 (양재동)"
